user_id,head_velocity_m_per_s,gaze_velocity_deg_per_s,head_movement_category,gaze_movement_category,overall_movement_category
51,0.5446937023156427,50.95800523901357,Medium,Low,Medium
52,0.58906642072264,48.103973724658225,Medium,Low,Medium
53,0.6222350995572821,40.71205301912634,Medium,Low,Medium
54,0.7179124526045695,55.63247563181146,Medium,Medium,Medium
55,0.6994093668773725,65.44798611781191,Medium,Medium,Medium
56,0.2966945128422969,53.73948585631268,Low,Low,Low
57,0.5084658026023962,82.0515887233314,Medium,Medium,Medium
58,0.4194294845070727,54.12305449438722,Medium,Medium,Medium
59,0.5571544401686745,54.37710329591778,Medium,Medium,Medium
60,0.6616034799248439,86.32444280052347,Medium,Medium,Medium
61,0.21356092823836562,58.078688775795115,Low,Medium,Low
62,1.1503639357105222,128.24551637532286,High,High,High
63,0.9693993268961575,109.79825072966926,High,High,High
64,0.3679910079022983,44.11760664646948,Low,Low,Low
65,0.7070242722646364,82.3614599838258,Medium,Medium,Medium
67,0.7794342990750268,71.930451061654,High,Medium,High
68,0.30374846369650477,57.99429471428692,Low,Medium,Low
69,0.600807617366249,79.2423337418774,Medium,Medium,Medium
70,0.3879458111530796,41.19172233354841,Medium,Low,Medium
71,1.0163791264668727,98.41754637522837,High,Medium,High
72,0.8288139949918305,95.81107537063819,High,Medium,High
73,0.36822609785682203,83.69605411978063,Low,Medium,Low
74,0.5691897028239611,109.03128494788548,Medium,High,Medium
75,0.2935225015401478,48.25635994063698,Low,Low,Low
76,0.5494701304476335,88.24099972409407,Medium,Medium,Medium
77,0.5084759995069258,106.61293952010597,Medium,High,Medium
78,0.7915233368007064,125.34888888439029,High,High,High
79,0.7664068114379883,103.14516518449123,High,High,High
80,1.156494330134917,167.592102092284,High,High,High
81,0.354542664201415,33.051336683318844,Low,Low,Low
82,0.5576031431406516,54.024922142965735,Medium,Low,Medium
83,0.29669296835368136,68.85569025259848,Low,Medium,Low
84,0.23216922892632397,62.0277545301862,Low,Medium,Low
85,0.2977596717657599,74.93905200149536,Low,Medium,Low
86,0.8195425687141205,97.90130097502258,High,Medium,High
87,0.8940561465978727,134.39082299483806,High,High,High
88,1.1875090088975644,152.67698397671714,High,High,High
89,0.5031035520860904,105.12819212615604,Medium,High,Medium
90,0.48023789388224264,123.18970473954562,Medium,High,Medium
91,0.35715591634835314,53.260249872469046,Low,Low,Low
92,0.4950622287236298,38.81642657441827,Medium,Low,Medium
