participant_id,head_velocity_m_per_s,gaze_velocity_deg_per_s,head_movement_category,gaze_movement_category,overall_movement_category
1,0.4665742091530532,46.54984145052119,Medium,Low,Medium
2,0.5741903377104547,47.68215640284593,Medium,Low,Medium
3,0.45632208853199663,34.13574733327571,Medium,Low,Medium
4,0.6765408457450519,54.18879623052621,High,Medium,High
5,0.5391018239501235,48.996914619332536,Medium,Medium,Medium
6,0.2966945128422969,53.73948585631268,Low,Medium,Low
7,0.39882084844381566,74.62603585792596,Medium,Medium,Medium
8,0.39895507574807093,53.53040928949687,Medium,Medium,Medium
9,0.39278688588122207,39.13577280575652,Medium,Low,Medium
10,0.6060393433396061,78.21162379916292,Medium,Medium,Medium
11,0.1954428279026031,50.57442931274322,Low,Medium,Low
12,0.7767598358091878,104.0066203658669,High,High,High
13,0.8329072955469846,95.16254142552746,High,High,High
14,0.3679910079022983,44.11760664646948,Low,Low,Low
15,0.577298988321769,62.97491357774284,Medium,Medium,Medium
16,0.6647022172441014,63.23630630408326,High,Medium,High
17,0.23672620945858058,42.71459514539159,Low,Low,Low
18,0.5681179230055605,76.30627139746984,Medium,Medium,Medium
19,0.3879458111530796,41.19172233354841,Medium,Low,Medium
20,0.6638112654163184,65.28668236643388,High,Medium,High
21,0.6059996507795259,78.85871799093732,Medium,Medium,Medium
22,0.34132448099674606,77.68432737993041,Low,Medium,Low
23,0.45862957310965047,88.05076010411914,Medium,High,Medium
24,0.2341710869415218,40.36121894848114,Low,Low,Low
25,0.45148738612765227,68.10434035765007,Medium,Medium,Medium
26,0.47850676897378486,101.99472234507724,Medium,High,Medium
27,0.6622840499768327,94.15587244414642,High,High,High
28,0.6563998763902825,85.9133502250123,High,High,High
29,0.6297618589388465,103.57662460084597,High,High,High
30,0.3345740169189781,30.662897186803292,Low,Low,Low
31,0.43991872545049343,43.48849254971805,Medium,Low,Medium
32,0.25936526952379935,58.00448575058237,Low,Medium,Low
33,0.1864860985861055,56.438766663448675,Low,Medium,Low
34,0.27114491818989467,67.15755891518954,Low,Medium,Low
35,0.6775955742064019,84.09416721966855,High,Medium,High
36,0.6932338264544684,92.93662890051107,High,High,High
37,0.8666925777251518,110.19949049958915,High,High,High
38,0.42396646450780867,94.50953012293152,Medium,High,Medium
39,0.41076235724809856,100.55672719635186,Medium,High,Medium
40,0.35715591634835314,53.260249872469046,Low,Medium,Low
41,0.4950622287236298,38.81642657441827,Medium,Low,Medium
